api,family,method,dtype,layout,args,numpy_status,numpy_shape,numpy_dtype,numpy_error,numpy_message,numpy_mutated,charex_status,charex_shape,charex_dtype,charex_error,charex_message,charex_mutated,same_outcome,values_match
char,comparison,equal,S,python-scalar,bytes:b'abcabc' | bytes:b'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,equal,S,python-scalar,bytes:b'abcabc' | bytes:b'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,equal,S,zero-dimensional,"shape=(),strides=(),dtype=|S8,writeable=True | shape=(),strides=(),dtype=|S8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,equal,S,zero-dimensional,"shape=(),strides=(),dtype=|S8,writeable=True | shape=(),strides=(),dtype=|S8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,equal,S,contiguous-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=True | shape=(4,),strides=(8,),dtype=|S8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,S,contiguous-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=True | shape=(4,),strides=(8,),dtype=|S8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,equal,S,readonly-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=False | shape=(4,),strides=(8,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,S,readonly-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=False | shape=(4,),strides=(8,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,equal,S,positive-stride-1d,"shape=(3,),strides=(16,),dtype=|S8,writeable=True | shape=(3,),strides=(16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,S,positive-stride-1d,"shape=(3,),strides=(16,),dtype=|S8,writeable=True | shape=(3,),strides=(16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,S,negative-stride-1d,"shape=(3,),strides=(-16,),dtype=|S8,writeable=True | shape=(3,),strides=(-16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,S,negative-stride-1d,"shape=(3,),strides=(-16,),dtype=|S8,writeable=True | shape=(3,),strides=(-16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,S,zero-stride-1d,"shape=(4,),strides=(0,),dtype=|S8,writeable=False | shape=(4,),strides=(0,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,S,zero-stride-1d,"shape=(4,),strides=(0,),dtype=|S8,writeable=False | shape=(4,),strides=(0,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,S,empty-stride-1d,"shape=(0,),strides=(8,),dtype=|S8,writeable=True | shape=(0,),strides=(8,),dtype=|S8,writeable=True",ok,"(0,)",bool,,,False,ok,"(0,)",bool,,,False,True,true
strings,comparison,equal,S,empty-stride-1d,"shape=(0,),strides=(8,),dtype=|S8,writeable=True | shape=(0,),strides=(8,),dtype=|S8,writeable=True",ok,"(0,)",bool,,,False,ok,"(0,)",bool,,,False,True,true
char,comparison,equal,S,contiguous-2d,"shape=(2, 3),strides=(24, 8),dtype=|S8,writeable=True | shape=(2, 3),strides=(24, 8),dtype=|S8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,S,contiguous-2d,"shape=(2, 3),strides=(24, 8),dtype=|S8,writeable=True | shape=(2, 3),strides=(24, 8),dtype=|S8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,S,broadcast-2d,"shape=(2, 1),strides=(8, 8),dtype=|S8,writeable=True | shape=(1, 3),strides=(24, 8),dtype=|S8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,S,broadcast-2d,"shape=(2, 1),strides=(8, 8),dtype=|S8,writeable=True | shape=(1, 3),strides=(24, 8),dtype=|S8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,S,shape-mismatch-1d,"shape=(3,),strides=(8,),dtype=|S8,writeable=True | shape=(2,),strides=(8,),dtype=|S8,writeable=True",error,,,ValueError,"operands could not be broadcast together with shapes (3,) (2,) ",False,error,,,ValueError,shape mismatch: objects cannot be broadcast to a single shape.  Mismatch is between arg 0 and arg 1.,False,True,
strings,comparison,equal,S,shape-mismatch-1d,"shape=(3,),strides=(8,),dtype=|S8,writeable=True | shape=(2,),strides=(8,),dtype=|S8,writeable=True",error,,,ValueError,"operands could not be broadcast together with shapes (3,) (2,) ",False,error,,,ValueError,shape mismatch: objects cannot be broadcast to a single shape.  Mismatch is between arg 0 and arg 1.,False,True,
char,comparison,equal,U,python-scalar,str:'abcabc' | str:'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,equal,U,python-scalar,str:'abcabc' | str:'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,equal,U,zero-dimensional,"shape=(),strides=(),dtype=<U8,writeable=True | shape=(),strides=(),dtype=<U8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,equal,U,zero-dimensional,"shape=(),strides=(),dtype=<U8,writeable=True | shape=(),strides=(),dtype=<U8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,equal,U,contiguous-1d,"shape=(4,),strides=(32,),dtype=<U8,writeable=True | shape=(4,),strides=(32,),dtype=<U8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,U,contiguous-1d,"shape=(4,),strides=(32,),dtype=<U8,writeable=True | shape=(4,),strides=(32,),dtype=<U8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,equal,U,readonly-1d,"shape=(4,),strides=(32,),dtype=<U8,writeable=False | shape=(4,),strides=(32,),dtype=<U8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,U,readonly-1d,"shape=(4,),strides=(32,),dtype=<U8,writeable=False | shape=(4,),strides=(32,),dtype=<U8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,equal,U,positive-stride-1d,"shape=(3,),strides=(64,),dtype=<U8,writeable=True | shape=(3,),strides=(64,),dtype=<U8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,U,positive-stride-1d,"shape=(3,),strides=(64,),dtype=<U8,writeable=True | shape=(3,),strides=(64,),dtype=<U8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,U,negative-stride-1d,"shape=(3,),strides=(-64,),dtype=<U8,writeable=True | shape=(3,),strides=(-64,),dtype=<U8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,U,negative-stride-1d,"shape=(3,),strides=(-64,),dtype=<U8,writeable=True | shape=(3,),strides=(-64,),dtype=<U8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,U,zero-stride-1d,"shape=(4,),strides=(0,),dtype=<U8,writeable=False | shape=(4,),strides=(0,),dtype=<U8,writeable=False",ok,"(4,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,U,zero-stride-1d,"shape=(4,),strides=(0,),dtype=<U8,writeable=False | shape=(4,),strides=(0,),dtype=<U8,writeable=False",ok,"(4,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,U,empty-stride-1d,"shape=(0,),strides=(32,),dtype=<U8,writeable=True | shape=(0,),strides=(32,),dtype=<U8,writeable=True",ok,"(0,)",bool,,,False,ok,"(0,)",bool,,,False,True,true
strings,comparison,equal,U,empty-stride-1d,"shape=(0,),strides=(32,),dtype=<U8,writeable=True | shape=(0,),strides=(32,),dtype=<U8,writeable=True",ok,"(0,)",bool,,,False,ok,"(0,)",bool,,,False,True,true
char,comparison,equal,U,contiguous-2d,"shape=(2, 3),strides=(96, 32),dtype=<U8,writeable=True | shape=(2, 3),strides=(96, 32),dtype=<U8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,U,contiguous-2d,"shape=(2, 3),strides=(96, 32),dtype=<U8,writeable=True | shape=(2, 3),strides=(96, 32),dtype=<U8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,U,broadcast-2d,"shape=(2, 1),strides=(32, 32),dtype=<U8,writeable=True | shape=(1, 3),strides=(96, 32),dtype=<U8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,U,broadcast-2d,"shape=(2, 1),strides=(32, 32),dtype=<U8,writeable=True | shape=(1, 3),strides=(96, 32),dtype=<U8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,equal,U,shape-mismatch-1d,"shape=(3,),strides=(32,),dtype=<U8,writeable=True | shape=(2,),strides=(32,),dtype=<U8,writeable=True",error,,,ValueError,"operands could not be broadcast together with shapes (3,) (2,) ",False,error,,,ValueError,shape mismatch: objects cannot be broadcast to a single shape.  Mismatch is between arg 0 and arg 1.,False,True,
strings,comparison,equal,U,shape-mismatch-1d,"shape=(3,),strides=(32,),dtype=<U8,writeable=True | shape=(2,),strides=(32,),dtype=<U8,writeable=True",error,,,ValueError,"operands could not be broadcast together with shapes (3,) (2,) ",False,error,,,ValueError,shape mismatch: objects cannot be broadcast to a single shape.  Mismatch is between arg 0 and arg 1.,False,True,
strings,comparison,equal,T,zero-dimensional,"shape=(),strides=(),dtype=StringDType(),writeable=True | shape=(),strides=(),dtype=StringDType(),writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,equal,T,contiguous-1d,"shape=(4,),strides=(16,),dtype=StringDType(),writeable=True | shape=(4,),strides=(16,),dtype=StringDType(),writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,T,readonly-1d,"shape=(4,),strides=(16,),dtype=StringDType(),writeable=False | shape=(4,),strides=(16,),dtype=StringDType(),writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,T,positive-stride-1d,"shape=(3,),strides=(32,),dtype=StringDType(),writeable=True | shape=(3,),strides=(32,),dtype=StringDType(),writeable=True",ok,"(3,)",bool,,,False,ok,"(3,)",bool,,,False,True,true
strings,comparison,equal,T,negative-stride-1d,"shape=(3,),strides=(-32,),dtype=StringDType(),writeable=True | shape=(3,),strides=(-32,),dtype=StringDType(),writeable=True",ok,"(3,)",bool,,,False,ok,"(3,)",bool,,,False,True,true
strings,comparison,equal,T,zero-stride-1d,"shape=(4,),strides=(0,),dtype=StringDType(),writeable=False | shape=(4,),strides=(0,),dtype=StringDType(),writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,T,empty-stride-1d,"shape=(0,),strides=(16,),dtype=StringDType(),writeable=True | shape=(0,),strides=(16,),dtype=StringDType(),writeable=True",ok,"(0,)",bool,,,False,ok,"(0,)",bool,,,False,True,true
strings,comparison,equal,T,contiguous-2d,"shape=(2, 3),strides=(48, 16),dtype=StringDType(),writeable=True | shape=(2, 3),strides=(48, 16),dtype=StringDType(),writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,T,broadcast-2d,"shape=(2, 1),strides=(16, 16),dtype=StringDType(),writeable=True | shape=(1, 3),strides=(48, 16),dtype=StringDType(),writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,T,shape-mismatch-1d,"shape=(3,),strides=(16,),dtype=StringDType(),writeable=True | shape=(2,),strides=(16,),dtype=StringDType(),writeable=True",error,,,ValueError,"operands could not be broadcast together with shapes (3,) (2,) ",False,error,,,ValueError,shape mismatch: objects cannot be broadcast to a single shape,False,True,
strings,comparison,equal,T-na-string,zero-dimensional,"shape=(),strides=(),dtype=StringDType(na_object='MISSING'),writeable=True | shape=(),strides=(),dtype=StringDType(na_object='MISSING'),writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,equal,T-na-string,contiguous-1d,"shape=(4,),strides=(16,),dtype=StringDType(na_object='MISSING'),writeable=True | shape=(4,),strides=(16,),dtype=StringDType(na_object='MISSING'),writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,T-na-string,readonly-1d,"shape=(4,),strides=(16,),dtype=StringDType(na_object='MISSING'),writeable=False | shape=(4,),strides=(16,),dtype=StringDType(na_object='MISSING'),writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,T-na-string,positive-stride-1d,"shape=(3,),strides=(32,),dtype=StringDType(na_object='MISSING'),writeable=True | shape=(3,),strides=(32,),dtype=StringDType(na_object='MISSING'),writeable=True",ok,"(3,)",bool,,,False,ok,"(3,)",bool,,,False,True,true
strings,comparison,equal,T-na-string,negative-stride-1d,"shape=(3,),strides=(-32,),dtype=StringDType(na_object='MISSING'),writeable=True | shape=(3,),strides=(-32,),dtype=StringDType(na_object='MISSING'),writeable=True",ok,"(3,)",bool,,,False,ok,"(3,)",bool,,,False,True,true
strings,comparison,equal,T-na-string,zero-stride-1d,"shape=(4,),strides=(0,),dtype=StringDType(na_object='MISSING'),writeable=False | shape=(4,),strides=(0,),dtype=StringDType(na_object='MISSING'),writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,T-na-string,empty-stride-1d,"shape=(0,),strides=(16,),dtype=StringDType(na_object='MISSING'),writeable=True | shape=(0,),strides=(16,),dtype=StringDType(na_object='MISSING'),writeable=True",ok,"(0,)",bool,,,False,ok,"(0,)",bool,,,False,True,true
strings,comparison,equal,T-na-string,contiguous-2d,"shape=(2, 3),strides=(48, 16),dtype=StringDType(na_object='MISSING'),writeable=True | shape=(2, 3),strides=(48, 16),dtype=StringDType(na_object='MISSING'),writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,T-na-string,broadcast-2d,"shape=(2, 1),strides=(16, 16),dtype=StringDType(na_object='MISSING'),writeable=True | shape=(1, 3),strides=(48, 16),dtype=StringDType(na_object='MISSING'),writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,T-na-string,shape-mismatch-1d,"shape=(3,),strides=(16,),dtype=StringDType(na_object='MISSING'),writeable=True | shape=(2,),strides=(16,),dtype=StringDType(na_object='MISSING'),writeable=True",error,,,ValueError,"operands could not be broadcast together with shapes (3,) (2,) ",False,error,,,ValueError,shape mismatch: objects cannot be broadcast to a single shape,False,True,
strings,comparison,equal,T-na-nan,zero-dimensional,"shape=(),strides=(),dtype=StringDType(na_object=nan),writeable=True | shape=(),strides=(),dtype=StringDType(na_object=nan),writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,equal,T-na-nan,contiguous-1d,"shape=(4,),strides=(16,),dtype=StringDType(na_object=nan),writeable=True | shape=(4,),strides=(16,),dtype=StringDType(na_object=nan),writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,T-na-nan,readonly-1d,"shape=(4,),strides=(16,),dtype=StringDType(na_object=nan),writeable=False | shape=(4,),strides=(16,),dtype=StringDType(na_object=nan),writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,T-na-nan,positive-stride-1d,"shape=(3,),strides=(32,),dtype=StringDType(na_object=nan),writeable=True | shape=(3,),strides=(32,),dtype=StringDType(na_object=nan),writeable=True",ok,"(3,)",bool,,,False,ok,"(3,)",bool,,,False,True,true
strings,comparison,equal,T-na-nan,negative-stride-1d,"shape=(3,),strides=(-32,),dtype=StringDType(na_object=nan),writeable=True | shape=(3,),strides=(-32,),dtype=StringDType(na_object=nan),writeable=True",ok,"(3,)",bool,,,False,ok,"(3,)",bool,,,False,True,true
strings,comparison,equal,T-na-nan,zero-stride-1d,"shape=(4,),strides=(0,),dtype=StringDType(na_object=nan),writeable=False | shape=(4,),strides=(0,),dtype=StringDType(na_object=nan),writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,equal,T-na-nan,empty-stride-1d,"shape=(0,),strides=(16,),dtype=StringDType(na_object=nan),writeable=True | shape=(0,),strides=(16,),dtype=StringDType(na_object=nan),writeable=True",ok,"(0,)",bool,,,False,ok,"(0,)",bool,,,False,True,true
strings,comparison,equal,T-na-nan,contiguous-2d,"shape=(2, 3),strides=(48, 16),dtype=StringDType(na_object=nan),writeable=True | shape=(2, 3),strides=(48, 16),dtype=StringDType(na_object=nan),writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,T-na-nan,broadcast-2d,"shape=(2, 1),strides=(16, 16),dtype=StringDType(na_object=nan),writeable=True | shape=(1, 3),strides=(48, 16),dtype=StringDType(na_object=nan),writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,equal,T-na-nan,shape-mismatch-1d,"shape=(3,),strides=(16,),dtype=StringDType(na_object=nan),writeable=True | shape=(2,),strides=(16,),dtype=StringDType(na_object=nan),writeable=True",error,,,ValueError,"operands could not be broadcast together with shapes (3,) (2,) ",False,error,,,ValueError,shape mismatch: objects cannot be broadcast to a single shape,False,True,
char,comparison,not_equal,S,python-scalar,bytes:b'abcabc' | bytes:b'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,not_equal,S,python-scalar,bytes:b'abcabc' | bytes:b'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,not_equal,S,zero-dimensional,"shape=(),strides=(),dtype=|S8,writeable=True | shape=(),strides=(),dtype=|S8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,not_equal,S,zero-dimensional,"shape=(),strides=(),dtype=|S8,writeable=True | shape=(),strides=(),dtype=|S8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,not_equal,S,contiguous-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=True | shape=(4,),strides=(8,),dtype=|S8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,not_equal,S,contiguous-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=True | shape=(4,),strides=(8,),dtype=|S8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,not_equal,S,readonly-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=False | shape=(4,),strides=(8,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,not_equal,S,readonly-1d,"shape=(4,),strides=(8,),dtype=|S8,writeable=False | shape=(4,),strides=(8,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,not_equal,S,positive-stride-1d,"shape=(3,),strides=(16,),dtype=|S8,writeable=True | shape=(3,),strides=(16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,not_equal,S,positive-stride-1d,"shape=(3,),strides=(16,),dtype=|S8,writeable=True | shape=(3,),strides=(16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,not_equal,S,negative-stride-1d,"shape=(3,),strides=(-16,),dtype=|S8,writeable=True | shape=(3,),strides=(-16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,not_equal,S,negative-stride-1d,"shape=(3,),strides=(-16,),dtype=|S8,writeable=True | shape=(3,),strides=(-16,),dtype=|S8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,not_equal,S,zero-stride-1d,"shape=(4,),strides=(0,),dtype=|S8,writeable=False | shape=(4,),strides=(0,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,not_equal,S,zero-stride-1d,"shape=(4,),strides=(0,),dtype=|S8,writeable=False | shape=(4,),strides=(0,),dtype=|S8,writeable=False",ok,"(4,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,not_equal,S,empty-stride-1d,"shape=(0,),strides=(8,),dtype=|S8,writeable=True | shape=(0,),strides=(8,),dtype=|S8,writeable=True",ok,"(0,)",bool,,,False,ok,"(0,)",bool,,,False,True,true
strings,comparison,not_equal,S,empty-stride-1d,"shape=(0,),strides=(8,),dtype=|S8,writeable=True | shape=(0,),strides=(8,),dtype=|S8,writeable=True",ok,"(0,)",bool,,,False,ok,"(0,)",bool,,,False,True,true
char,comparison,not_equal,S,contiguous-2d,"shape=(2, 3),strides=(24, 8),dtype=|S8,writeable=True | shape=(2, 3),strides=(24, 8),dtype=|S8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,not_equal,S,contiguous-2d,"shape=(2, 3),strides=(24, 8),dtype=|S8,writeable=True | shape=(2, 3),strides=(24, 8),dtype=|S8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,not_equal,S,broadcast-2d,"shape=(2, 1),strides=(8, 8),dtype=|S8,writeable=True | shape=(1, 3),strides=(24, 8),dtype=|S8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,not_equal,S,broadcast-2d,"shape=(2, 1),strides=(8, 8),dtype=|S8,writeable=True | shape=(1, 3),strides=(24, 8),dtype=|S8,writeable=True",ok,"(2, 3)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,not_equal,S,shape-mismatch-1d,"shape=(3,),strides=(8,),dtype=|S8,writeable=True | shape=(2,),strides=(8,),dtype=|S8,writeable=True",error,,,ValueError,"operands could not be broadcast together with shapes (3,) (2,) ",False,error,,,ValueError,shape mismatch: objects cannot be broadcast to a single shape.  Mismatch is between arg 0 and arg 1.,False,True,
strings,comparison,not_equal,S,shape-mismatch-1d,"shape=(3,),strides=(8,),dtype=|S8,writeable=True | shape=(2,),strides=(8,),dtype=|S8,writeable=True",error,,,ValueError,"operands could not be broadcast together with shapes (3,) (2,) ",False,error,,,ValueError,shape mismatch: objects cannot be broadcast to a single shape.  Mismatch is between arg 0 and arg 1.,False,True,
char,comparison,not_equal,U,python-scalar,str:'abcabc' | str:'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,not_equal,U,python-scalar,str:'abcabc' | str:'abc',ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,not_equal,U,zero-dimensional,"shape=(),strides=(),dtype=<U8,writeable=True | shape=(),strides=(),dtype=<U8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
strings,comparison,not_equal,U,zero-dimensional,"shape=(),strides=(),dtype=<U8,writeable=True | shape=(),strides=(),dtype=<U8,writeable=True",ok,(),bool,,,False,ok,(),bool,,,False,True,true
char,comparison,not_equal,U,contiguous-1d,"shape=(4,),strides=(32,),dtype=<U8,writeable=True | shape=(4,),strides=(32,),dtype=<U8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,not_equal,U,contiguous-1d,"shape=(4,),strides=(32,),dtype=<U8,writeable=True | shape=(4,),strides=(32,),dtype=<U8,writeable=True",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,not_equal,U,readonly-1d,"shape=(4,),strides=(32,),dtype=<U8,writeable=False | shape=(4,),strides=(32,),dtype=<U8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
strings,comparison,not_equal,U,readonly-1d,"shape=(4,),strides=(32,),dtype=<U8,writeable=False | shape=(4,),strides=(32,),dtype=<U8,writeable=False",ok,"(4,)",bool,,,False,ok,"(4,)",bool,,,False,True,true
char,comparison,not_equal,U,positive-stride-1d,"shape=(3,),strides=(64,),dtype=<U8,writeable=True | shape=(3,),strides=(64,),dtype=<U8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,not_equal,U,positive-stride-1d,"shape=(3,),strides=(64,),dtype=<U8,writeable=True | shape=(3,),strides=(64,),dtype=<U8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,not_equal,U,negative-stride-1d,"shape=(3,),strides=(-64,),dtype=<U8,writeable=True | shape=(3,),strides=(-64,),dtype=<U8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,not_equal,U,negative-stride-1d,"shape=(3,),strides=(-64,),dtype=<U8,writeable=True | shape=(3,),strides=(-64,),dtype=<U8,writeable=True",ok,"(3,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
char,comparison,not_equal,U,zero-stride-1d,"shape=(4,),strides=(0,),dtype=<U8,writeable=False | shape=(4,),strides=(0,),dtype=<U8,writeable=False",ok,"(4,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
strings,comparison,not_equal,U,zero-stride-1d,"shape=(4,),strides=(0,),dtype=<U8,writeable=False | shape=(4,),strides=(0,),dtype=<U8,writeable=False",ok,"(4,)",bool,,,False,error,,,TypingError,Failed in nopython mode pipeline (step: nopython frontend),False,False,
